English,Greek
"The max number of weather systems to exist at the same time, weighted by the size of the world.","The max number of weather systems to exist at the same time, weighted by the size of the world."
Maintenance Decay Percentage,Maintenance Decay Percentage
Maintenance Decay Multiplier,Maintenance Decay Multiplier
Specialty Experience Per Level Squared,Specialty Experience Per Level Squared
"Maintenance decay rate, this sets the default value for hourly consumption of durability.","Maintenance decay rate, this sets the default value for hourly consumption of durability."
"Maintenance decay rate multiplier, this can be adjusted to increase or decrease the Part durability consumed in crafting tables.","Maintenance decay rate multiplier, this can be adjusted to increase or decrease the Part durability consumed in crafting tables."
The skill level will be multiplied by this number and squared to determine how much experience is needed to gain a level. ,The skill level will be multiplied by this number and squared to determine how much experience is needed to gain a level. 
"IN PREVIEW MODE, NOT FINISHED: Allows placing some objects on rugs and tabletops, and rotating them to any angle.","IN PREVIEW MODE, NOT FINISHED: Allows placing some objects on rugs and tabletops, and rotating them to any angle."
Allow Using Paid Items Without Blueprint,Allow Using Paid Items Without Blueprint
Block Using Any Paid Item,Block Using Any Paid Item
"If true, paid variants of items will be allowed in stores.","If true, paid variants of items will be allowed in stores."
"If true, only players owning a blueprint can place items using it.","If true, only players owning a blueprint can place items using it."
"If true, paid variants are now allowed in this world.","If true, paid variants are now allowed in this world."
Game Settings,Game Settings
Block Paint,Block Paint
A citizen painted a block,A citizen painted a block
Block Paint Cleanup,Block Paint Cleanup
A citizen cleared block paint,A citizen cleared block paint
Lone wolf. May specialize in everything. Fast skill rate.,Lone wolf. May specialize in everything. Fast skill rate.
Self-Reliant Society. May specialize in most things. Medium skill rate.,Self-Reliant Society. May specialize in most things. Medium skill rate.
"Stable Society. May specialize in needed amount, plus extra. Normal skill rate.","Stable Society. May specialize in needed amount, plus extra. Normal skill rate."
"High-Trust Society. May specialize in needed amount, with minimal extra. Slow skill rate.","High-Trust Society. May specialize in needed amount, with minimal extra. Slow skill rate."
Very Slow,Very Slow
Slow,Slow
Very Fast,Very Fast
120 Days until meteor hits. Very leisurely pace.,120 Days until meteor hits. Very leisurely pace.
60 Days until meteor hits. Longer time at each era.,60 Days until meteor hits. Longer time at each era.
30 Days until meteor hits. Normal progression rate.,30 Days until meteor hits. Normal progression rate.
10 Days until meteor hits. Rapid progress.,10 Days until meteor hits. Rapid progress.
5 Days until meteor hits. Turbo mode.,5 Days until meteor hits. Turbo mode.
"Citizens can carry way more than reality, and craft time is much reduced.","Citizens can carry way more than reality, and craft time is much reduced."
"Citzens can carry a bit more than reality, and craft times are normal.","Citzens can carry a bit more than reality, and craft times are normal."
"Citizens can carry the same amount as in reality, and craft times reflect real times.","Citizens can carry the same amount as in reality, and craft times reflect real times."
Advanced settings that are changed whenever the other settings above are changed.,Advanced settings that are changed whenever the other settings above are changed.
Defines what type of game should be run. These settings are used to generate Difficulty Modifiers.,Defines what type of game should be run. These settings are used to generate Difficulty Modifiers.
How many days until the meteor would hit?,How many days until the meteor would hit?
Each citizen may take professions until they have this percent of the total number. 10 total available in vanilla.,Each citizen may take professions until they have this percent of the total number. 10 total available in vanilla.
Each citizen may take specialties until they have this percent of the total number. 33 total available in vanilla.,Each citizen may take specialties until they have this percent of the total number. 33 total available in vanilla.
"Multiplier applied to fuel yield per unit. Values below 1 decrease fuel used, above 1 increase fuel used. A server restart is required for correct calculation.","Multiplier applied to fuel yield per unit. Values below 1 decrease fuel used, above 1 increase fuel used. A server restart is required for correct calculation."
"Can citizens abandon stars they spent on specialties, allowing them to choose other specialties? Note: specialties cannot be abandoned when there are active work orders which the citizen contributed to using that specialty.","Can citizens abandon stars they spent on specialties, allowing them to choose other specialties? Note: specialties cannot be abandoned when there are active work orders which the citizen contributed to using that specialty."
Percentage of speciality experience that is also gained as character level experience (which otherwise only comes from food/housing). Not recommended for public servers. Default: 0,Percentage of speciality experience that is also gained as character level experience (which otherwise only comes from food/housing). Not recommended for public servers. Default: 0
Allows or prevents building in deep ocean biome. Prevents building ocean-bridges to make boats more necessary.,Allows or prevents building in deep ocean biome. Prevents building ocean-bridges to make boats more necessary.
Pink,Pink
Brown,Brown
Gray,Gray
Orange,Orange
Purple,Purple
Maroon,Maroon
Teal,Teal
Gold,Gold
Silver,Silver
Olive,Olive
Peach,Peach
Indigo,Indigo
Rose,Rose
Lemon,Lemon
Ivory,Ivory
Beige,Beige
Forest Green,Forest Green
Coral,Coral
Navy,Navy
Mustard,Mustard
Slate,Slate
Ruby,Ruby
Chocolate,Chocolate
Plum,Plum
Tangerine,Tangerine
Sky Blue,Sky Blue
Sienna,Sienna
Lavender,Lavender
Turquoise,Turquoise
The name of this server. Max 250 characters.,The name of this server. Max 250 characters.
