English,Portuguese
A simple wet brick ready to be processed into a construction block.,
Wet Brick,
Wooden Mold,
Allows the modification of the constitution.,
Where papers are signed and foreign affairs are settled.(Allows the settlement to enable hostile takeovers),
"Allows the creation of Law, which can perform many types of regulations, restrictions, taxations, incentives, and more.",
Calories To Plant,
Seeding Time,
Seeds Count,
Seeding Area,
Plant Age To Seed,
How many calories must be expended to plant this seed..,
The time elapsed in hours between each attempt at spreading seeds to new tiles.,
The total count of new plants allowed to spread per attempt once the seeding timer has been reached.,
The distance check for how far a new plant is allowed to generate calculated from the existing parent plant.,
The age of a plant necessary to spread to new tiles in percent of total age calculated against its MaturityAgeDays.,
Percentage of habitability that gets spawned in the beginning.  Should be between 0 (no plants) and 1 (use all available capacity).,
Minimap Name,
Steer,
Paddle,
A 'Cultural' deed is a type of property that can contribute to the overall Culture value of the containing settlement.,
Allow Face Tracking On Server,
Max Allowed Texture Size In KB,
Max Allowed Texture Size In Bytes,
"Max allowed size for user uploaded textures in Kilobytes, default is 400 KB",
The influence gained from the settlement foundation will be multiplied by this value.,
"The influence gained from the different deeds that are created inside the settlement, will be multiplied by this value.",
If a homestead is abandoned (owned by abandoned citizens) then both the percentage and the abosulte value needed to annex it will be reduced by this specified value (value between 0 - 1).,
updatesettlements,
updatesets,
Force an update of all settlement properties.,
describeannex,
Update annex settings and describe them.,
Allows various culture controls for a settlement.,
enableadmininterface,
admininterface,
Enable or disable admin interfaces across the game.,
Press to toggle digging/driving mode.,
HolidayPlugin,
Previous Position,
Move World Object,
The position of the object before it was moved.,
An object was moved.,
Enable Admin UI,
Setting this to true will allow admins to have more control over some civics (I.E in settlement roster a new admin button will show up).,
Has Diplomatic Privileges,
Allows title holders to use Embassy Desk objects to determine cultural influence and annex other settlements.,
Allow Become Citizen Upon Homestead Placement,
This will make it possible for players to instantly join the settlement upon placing their homesteads inside its influence.,
Optional set of wages paid for citizens in this demographic.,
A long description of the server to display when selected in the server browser.  Use \n for line endings.  Max 500 characters.,
Missing Settlement,
Consumes: {0}w of {1} power.,
Produces: {0}w of {1} power.,
Consumes: {0}w of {1} power from fuel.,
Fast Pickupable,
Crushed Coal Lv3,
Crushed Coal Lv2,
Stone Ramp D,
Stone Ramp C,
Stone Ramp B,
Stone Ramp A,
Brick Ramp D,
Brick Ramp C,
Brick Ramp B,
Brick Ramp A,
Current review state:,
Influence for {0}:,
Artwork,
Value in {0}:,
Artwork contained:,
Capitol:,
Advertisement:,
Achieved on {0}.,
"Achieved on world {0}, run by {1}",
"Can't move there, this category already has an item matching that.",
"Invalid item, Settlement not assigned by store owner.",
"Selected file should not exceed {0}, current size: {1}.",
B,
KB,
MB,
GB,
TB,
For Settlement: {0},
Limit:,
Amount to keep in storage (and not sell).,
'0' means no limit.,
You've reached the core and can drill no further.,
Downloading world,
{0} meters,
Current distance: {0},
The movement must happen within the allowed max distance of {0}.,
This action requires {0}/{1} calories.,
Calories required: {0},
Choose new location for {0}.,
Must be within {0} of the original position.,
This item is too heavy to move this far.,
You need more calories to move this object this far.,
Cast,
Take Picture,
"Upon placing your homestead here, you will become a citizen of {1}.",
Try to track hands.,
Can't drop there: blocked.,
This block has already been picked up.,
This WorldObject has already been picked up.,
No carried item found.,
{0} added to carry slot.,
Nothing found to copy.,
"Note: No settlement applied at the moment, keep in mind that this culture will be reduced when placed in a settlement, with reputation from Citizens of that settlement counting {0} less. Until then, the cultural value is {1}",
Culture reduced to zero because not placed in a Settlement yet.,
{0}'s Picture,
Influence blocked!,
"A {0} may only have {1} properties generating influence, and this property is not selected.",
"The top producing cultural properties are chosen, unless an order is specified on an Embaassy desk by the settlement leader.",
{0}{1}Adjusted Reputation,
{0} from {1}.,
{0} by {1}:,
Culture Value of {0},
Cultural Works From {0},
Global Culture Creation Ranks,
Ranked {0} globally.,
{0} from {1} {2} of art from {3} {4}.,
Picture spawned.,
Settlements updated.,
Give a randomly generated picture item for testing.,
{0} exceeded {1} in value.,
Created your first culture.,
Created over {0}.,
"Became the creator of the most culture worldwide, with {0} culture creators in competition.  You reached this position with {1}.",
Sparkling Canvas,
Create 50 total culture as a world.,
Incipient Renaissance,
Create 500 total culture as a world.,
Cultural Cornucopia,
Create 5000 total culture as a world.,
Cultural Nexus,
Create 20000 total culture as a world.,
Ascendent Civilization,
Create 100000 total culture as a world.,
Cultural Phenomenon,
Become the top ranked cultural creator when at least 10 citizens have created any culture.,
Dilettante,
Create your first culture.,
Cultivated,
Create 10 culture.,
Artisan,
Create 50 culture.,
Virtuoso,
Create 200 culture.,
Visionary,
Create 1000 culture.,
Remarkable Work,
Create a piece of artwork that generates 5 culture.,
Masterpiece,
Create a piece of artwork that generates 50 culture.,
Magnum Opus,
Create a piece of artwork that generates 1000 culture.,
Picking this up will disable the settlement after {0} minutes.,
Your homestead was removed from the world by {0}.,
You can craft a new homestead claimstake at {0},
"Too many deeds selected, you may only select {0} influence-producing deeds for a {1}.",
Invalid - not a part of this settlement.,
Invalid - not a cultural property.,
Cultural Properties Generating Influence in {0},
"{0} can have a max of {1} properties that generate culture, and those can be manually assigned here (otherwise the top ones are used).",
Select Cultural Deeds to Genereate Influence (max of {0}),
Properties,
A list of all the nearby settlements that {0} has progress towards annexing.,
Inventory only accepts {0},
Inventory does not accept construction materials.,
Not enough items ({0}) in source inventory.,
Bank Account {0} {1} because it was no longer associated with a placed bank.,
Bank Account {0} managed by you {1} because it was no longer associated with a placed bank.,
Amount per hour must be > 0.,
Added as occupant of {0}.,
Removed all occupants of {0}.,
You must hold an elected title in {0} with Diplomatic Privileges to do that.,
There are no active elections that {0} can join. {1},
Destroyed the meteor on {0},
{0} for {1} was established!,
{0}/second,
You can use /unstuck if you have no other options.,
Need {0},
more block,
*Missing Settlement*,
Learn about Swimming restrictions,
Press {0} to toggle third-person.,
Use {0} to change camera distance in third-person.,
Press {0} to move the camera target in third-person.,
Swimming Advisory,
Remember your room must be on land you own.,
{0} has entered a {1}!,
Not enough citizens to sustain the claimed land. Associated stakes and plots will be removed if not resolved on or before {0}.,
